,booking_count,age_in_days,core_earning,active_days,followers,company tier numerical,college tier numerical,years of experience,# of posts/week,avg engagement per post last 30 days,# of Posts last 30 days,# of Comments last 30 days,# of Reactions last 30 days,gender_score,# of promotional posts,target_score
0,3107,367,138293,360,6705.0,5.0,7.0,5.0,1.166666667,13.0,1.0,0.0,0.0,1,1.0,1
4,862,52,9050,52,1363.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
5,806,365,12866,365,106015.0,9.0,7.0,4.0,13.06666667,299.2857143,28.0,8.0,12.0,0,25.0,1
7,423,250,14157,250,2552.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
8,341,311,67760,311,3369.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
10,298,366,5335,366,43478.0,5.0,7.0,1.0,4.666666667,290.5,4.0,3.0,8.0,1,0.0,1
11,273,287,9,287,6502.0,5.0,8.0,4.0,0.245614035,20.5,1.0,1.0,0.0,1,0.0,0
13,243,286,103022,281,12058.0,8.0,7.0,9.0,1.931034483,59.0625,4.0,1.0,0.0,1,0.0,1
14,227,429,341697,429,62651.0,10.0,7.0,10.0,5.6,553.0,4.0,2.0,4.0,1,2.0,1
15,226,397,106964,393,31978.0,8.0,7.0,4.0,3.033333333,583.5384615,13.0,11.0,2.0,0,13.0,1
16,185,31,33569,31,8282.0,8.0,9.0,2.0,2.824561404,111.3478261,14.0,4.0,10.0,1,9.0,1
17,184,175,67800,166,64343.0,10.0,8.0,4.0,1.75,124.0,2.0,5.0,1.0,0,2.0,1
18,182,167,198,167,208.0,7.0,7.0,0.0,0.122807018,23.0,0.0,0.0,0.0,0,0.0,1
21,169,378,12929,378,72960.0,9.0,8.0,3.0,1.076923077,1809.25,4.0,0.0,4.0,0,4.0,1
23,167,0,0,0,3456.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
24,163,147,45435,138,78249.0,10.0,7.0,2.0,5.727272727,2394.444444,9.0,4.0,21.0,1,8.0,1
26,157,45,3037,45,24713.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
27,152,265,2700,265,9096.0,8.0,7.0,4.0,1.842105263,61.66666667,7.0,1.0,0.0,1,0.0,1
28,148,46,4090,41,20892.0,8.0,8.0,4.0,0.848484849,55.25,3.0,1.0,2.0,1,3.0,1
29,145,363,31014,363,30990.0,10.0,9.0,6.0,1.166666667,172.0,1.0,3.0,2.0,1,1.0,1
31,140,355,5588,355,76634.0,8.0,7.0,1.0,0.0,0.0,0.0,4.0,5.0,0,0.0,1
32,135,299,4115,299,39844.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
33,128,425,59326,394,46869.0,10.0,6.0,5.0,1.596491228,203.3846154,9.0,2.0,7.0,1,8.0,1
34,123,114,0,114,4033.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
35,123,119,0,115,7709.0,8.0,8.0,5.0,0.736842105,124.0,4.0,1.0,0.0,1,3.0,0
36,122,18,297,18,3649.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
37,120,362,11449,362,69662.0,10.0,8.0,3.0,0.24137931,21.0,1.0,0.0,6.0,0,0.0,1
39,116,258,649,258,11970.0,8.0,7.0,2.0,0.777777778,20.0,0.0,0.0,1.0,0,0.0,1
41,114,28,0,23,3607.0,7.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
42,111,76,81300,76,351.0,9.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
43,110,11,150,11,4905.0,7.0,7.0,1.0,0.122807018,235.0,0.0,0.0,0.0,0,0.0,1
44,109,261,1683,261,11739.0,9.0,7.0,5.0,0.162790698,119.0,0.0,0.0,3.0,0,0.0,1
45,108,342,11589,339,18019.0,10.0,7.0,7.0,0.194444444,32.0,0.0,0.0,1.0,1,0.0,1
46,99,233,80000,233,33483.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
47,97,128,7000,124,2010.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
48,96,270,14805,270,26199.0,10.0,8.0,5.0,0.512195122,312.6666667,0.0,0.0,0.0,1,0.0,1
49,96,244,90390,238,2326.0,9.0,8.0,7.0,0.184210526,28.0,0.0,0.0,0.0,0,0.0,1
50,96,169,34669,162,49733.0,8.0,8.0,8.0,4.454545455,145.7142857,7.0,5.0,5.0,1,2.0,1
51,95,391,148,375,48099.0,8.0,7.0,3.0,0.24137931,16.0,1.0,0.0,0.0,1,0.0,0
52,95,144,45793,144,17562.0,10.0,8.0,4.0,3.5,731.4545455,11.0,5.0,6.0,1,6.0,1
54,94,244,4040,244,46369.0,10.0,7.0,5.0,0.24137931,29.0,1.0,3.0,9.0,0,1.0,1
55,94,288,3470,288,13922.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1
56,94,139,41922,132,13789.0,8.0,9.0,3.0,1.105263158,192.3333333,2.0,0.0,1.0,1,2.0,1
57,89,339,26319,336,2053.0,8.0,8.0,2.0,6.01754386,17.97959184,24.0,9.0,1.0,1,2.0,1
58,89,151,156000,139,1490.0,9.0,8.0,8.0,0.194444444,27.0,0.0,0.0,0.0,0,0.0,1
59,88,361,22600,356,53157.0,10.0,7.0,5.0,0.428571429,84.66666667,2.0,1.0,12.0,1,1.0,1
