,booking_count,age_in_days,core_earning,active_days,followers,company tier numerical,college tier numerical,years of experience,# of posts/week,avg engagement per post last 30 days,# of Posts last 30 days,# of Comments last 30 days,# of Reactions last 30 days,gender_score,# of promotional posts,Target
0,3107.0,367.0,138293.0,360.0,6705.0,5.0,7.0,5.0,1.166666667,13.0,1.0,0.0,0.0,1.0,1.0,1
1,1743.0,353.0,31437.0,353.0,8619.0,5.0,6.0,12.0,2.839933230298152,155.7662093705203,4.916697547520213,1.193325646798783,2.632065901995569,1.0,3.614413523064224,1
2,1624.0,271.0,18275.0,271.0,20623.647147144293,5.0,6.0,4.0,2.7782918308752578,185.903095403211,4.29214980277998,1.2507896715637217,2.6681775190269086,1.0,3.415753602186577,1
3,1585.0,59.0,1782.0,59.0,8688.467349762213,5.0,5.0,3.0,2.3929349572353784,80.29054611253272,3.0603219656969713,0.467578084531702,1.4639480357936867,0.0,2.900706946257534,1
4,862.0,52.0,9050.0,52.0,1363.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,806.0,365.0,12866.0,365.0,106015.0,9.0,7.0,4.0,13.06666667,299.2857143,28.0,8.0,12.0,0.0,25.0,1
6,433.0,376.0,95191.0,364.0,18745.0,5.0,6.0,10.0,2.8099159964236717,373.36562921725965,7.7703156337268675,3.391893361539173,3.54641005036238,1.0,3.557695022354584,1
7,423.0,250.0,14157.0,250.0,2552.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,341.0,311.0,67760.0,311.0,3369.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
9,332.0,319.0,0.0,226.0,52.0,5.0,5.0,4.0,2.8970100799263645,30.00556970538391,4.718954506134042,2.455070313332536,2.7659181329599782,0.0,2.3079538070036962,0
10,298.0,366.0,5335.0,366.0,43478.0,5.0,7.0,1.0,4.666666667,290.5,4.0,3.0,8.0,1.0,0.0,1
11,273.0,287.0,9.0,287.0,6502.0,5.0,8.0,4.0,0.245614035,20.5,1.0,1.0,0.0,1.0,0.0,0
12,257.0,74.0,30.0,74.0,9777.679181490717,7.816770209662841,7.661341867039653,2.0,1.351867790408579,81.90179480684061,2.8405948030573693,1.0385356660008265,1.1691126675149246,1.0,1.2650073408450557,0
13,243.0,286.0,103022.0,281.0,12058.0,8.0,7.0,9.0,1.931034483,59.0625,4.0,1.0,0.0,1.0,0.0,1
14,227.0,429.0,341697.0,429.0,62651.0,10.0,7.0,10.0,5.6,553.0,4.0,2.0,4.0,1.0,2.0,1
15,226.0,397.0,106964.0,393.0,31978.0,8.0,7.0,4.0,3.033333333,583.5384615,13.0,11.0,2.0,0.0,13.0,1
16,185.0,31.0,33569.0,31.0,8282.0,8.0,9.0,2.0,2.824561404,111.3478261,14.0,4.0,10.0,1.0,9.0,1
17,184.0,175.0,67800.0,166.0,64343.0,10.0,8.0,4.0,1.75,124.0,2.0,5.0,1.0,0.0,2.0,1
18,182.0,167.0,198.0,167.0,208.0,7.0,7.0,0.0,0.122807018,23.0,0.0,0.0,0.0,0.0,0.0,1
19,180.0,348.0,22793.0,344.0,39000.0,7.0,7.545317687870252,4.0,2.119093533575321,295.48057741186176,4.8413019062659455,2.6400048545192183,3.2022196558276033,1.0,2.0198879879440153,1
20,173.0,288.0,1686.0,288.0,19509.810341331766,9.0,7.527709163118584,2.0,1.2220290730753913,137.79041747563906,1.977581107662728,1.4619242013089058,1.9548038978259965,0.0,0.9686391344753755,1
21,169.0,378.0,12929.0,378.0,72960.0,9.0,8.0,3.0,1.076923077,1809.25,4.0,0.0,4.0,0.0,4.0,1
22,167.0,475.0,27521.0,473.0,40176.0,6.0,7.4449160201614655,8.0,3.033333333,311.6923077,13.0,12.0,1.0,1.0,0.0,1
23,167.0,0.0,0.0,0.0,3456.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,163.0,147.0,45435.0,138.0,78249.0,10.0,7.0,2.0,5.727272727,2394.444444,9.0,4.0,21.0,1.0,8.0,1
25,161.0,55.0,0.0,51.0,9499.723141218312,7.942828383633714,7.766238049286092,5.0138826800724665,1.1881222625851622,80.38138139137945,2.4151388303842456,1.036534532446893,0.9782351886501139,0.0,1.030827285067207,0
26,157.0,45.0,3037.0,45.0,24713.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27,152.0,265.0,2700.0,265.0,9096.0,8.0,7.0,4.0,1.842105263,61.66666667,7.0,1.0,0.0,1.0,0.0,1
28,148.0,46.0,4090.0,41.0,20892.0,8.0,8.0,4.0,0.848484849,55.25,3.0,1.0,2.0,1.0,3.0,1
29,145.0,363.0,31014.0,363.0,30990.0,10.0,9.0,6.0,1.166666667,172.0,1.0,3.0,2.0,1.0,1.0,1
30,143.0,169.0,13541.0,169.0,29000.0,7.0,7.718872838684039,5.0396476338514695,1.809433549891406,218.7020961768423,4.386586112721243,1.9983709469186302,2.200307602000823,1.0,1.7124875357992728,1
31,140.0,355.0,5588.0,355.0,76634.0,8.0,7.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1
32,135.0,299.0,4115.0,299.0,39844.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
33,128.0,425.0,59326.0,394.0,46869.0,10.0,6.0,5.0,1.596491228,203.3846154,9.0,2.0,7.0,1.0,8.0,1
34,123.0,114.0,0.0,114.0,4033.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35,123.0,119.0,0.0,115.0,7709.0,8.0,8.0,5.0,0.736842105,124.0,4.0,1.0,0.0,1.0,3.0,0
36,122.0,18.0,297.0,18.0,3649.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,120.0,362.0,11449.0,362.0,69662.0,10.0,8.0,3.0,0.24137931,21.0,1.0,0.0,6.0,0.0,0.0,1
38,117.0,349.0,9083.0,344.0,78000.0,5.0,7.540759910718824,3.0,2.8826402934643696,467.6548795034888,6.40231560319893,3.685894223708537,4.451013007859626,1.0,2.5152712975771347,1
39,116.0,258.0,649.0,258.0,11970.0,8.0,7.0,2.0,0.777777778,20.0,0.0,0.0,1.0,0.0,0.0,1
40,115.0,215.0,2880.0,215.0,18.0,6.0,7.662002564217474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41,114.0,28.0,0.0,23.0,3607.0,7.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,111.0,76.0,81300.0,76.0,351.0,9.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43,110.0,11.0,150.0,11.0,4905.0,7.0,7.0,1.0,0.122807018,235.0,0.0,0.0,0.0,0.0,0.0,1
44,109.0,261.0,1683.0,261.0,11739.0,9.0,7.0,5.0,0.162790698,119.0,0.0,0.0,3.0,0.0,0.0,1
45,108.0,342.0,11589.0,339.0,18019.0,10.0,7.0,7.0,0.194444444,32.0,0.0,0.0,1.0,1.0,0.0,1
46,99.0,233.0,80000.0,233.0,33483.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
47,97.0,128.0,7000.0,124.0,2010.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,96.0,270.0,14805.0,270.0,26199.0,10.0,8.0,5.0,0.512195122,312.6666667,0.0,0.0,0.0,1.0,0.0,1
49,96.0,244.0,90390.0,238.0,2326.0,9.0,8.0,7.0,0.184210526,28.0,0.0,0.0,0.0,0.0,0.0,1
50,96.0,169.0,34669.0,162.0,49733.0,8.0,8.0,8.0,4.454545455,145.7142857,7.0,5.0,5.0,1.0,2.0,1
51,95.0,391.0,148.0,375.0,48099.0,8.0,7.0,3.0,0.24137931,16.0,1.0,0.0,0.0,1.0,0.0,1
52,95.0,144.0,45793.0,144.0,17562.0,10.0,8.0,4.0,3.5,731.4545455,11.0,5.0,6.0,1.0,6.0,1
53,95.0,93.0,12408.0,93.0,134.0,5.0,7.833570261679445,5.055062680689842,1.640654707234761,62.40546582571716,4.541484402422283,1.4519723698670746,1.1044095924597088,1.0,1.5425607918641229,1
54,94.0,244.0,4040.0,244.0,46369.0,10.0,7.0,5.0,0.24137931,29.0,1.0,3.0,9.0,0.0,1.0,1
55,94.0,288.0,3470.0,288.0,13922.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
56,94.0,139.0,41922.0,132.0,13789.0,8.0,9.0,3.0,1.105263158,192.3333333,2.0,0.0,1.0,1.0,2.0,1
57,89.0,339.0,26319.0,336.0,2053.0,8.0,8.0,2.0,6.01754386,17.97959184,24.0,9.0,1.0,1.0,2.0,1
58,89.0,151.0,156000.0,139.0,1490.0,9.0,8.0,8.0,0.194444444,27.0,0.0,0.0,0.0,0.0,0.0,1
59,88.0,361.0,22600.0,356.0,53157.0,10.0,7.0,5.0,0.428571429,84.66666667,2.0,1.0,12.0,1.0,1.0,1
60,87.0,221.0,550.0,221.0,4113.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
61,87.0,98.0,0.0,98.0,8276.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
62,85.0,26.0,1.0,26.0,7404.0,7.0,10.0,6.0,1.12,48.125,6.0,2.0,1.0,1.0,1.0,0
63,83.0,48.0,3880.0,34.0,7233.0,10.0,8.0,3.0,0.388888889,22.5,0.0,0.0,4.0,1.0,0.0,1
64,80.0,376.0,1964.0,376.0,27468.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
65,80.0,134.0,0.0,130.0,7458.0,10.0,9.0,4.0,7.0,243.5,2.0,3.0,2.0,1.0,1.0,0
66,78.0,59.0,119.0,59.0,34151.0,10.0,8.0,1.0,1.75,65.0,1.0,0.0,1.0,1.0,1.0,1
67,78.0,193.0,0.0,183.0,15338.928967056665,10.0,7.702862656428577,4.96489831293794,1.2196713601929132,111.37107766391081,2.4476547519041945,1.3110800111451233,1.6765263683662879,1.0,0.9564152842101301,0
68,77.0,195.0,0.0,195.0,31904.0,6.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0
69,77.0,42.0,3850.0,42.0,2358.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
70,77.0,160.0,44850.0,155.0,29130.0,8.0,7.0,5.0,0.972222222,664.4,3.0,2.0,1.0,1.0,1.0,1
71,73.0,16.0,0.0,16.0,880.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
